"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "XML", "Visual Basic", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\CallTermNode.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\CloneNode.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\DimNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\DivideNode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\EmptyNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ExpressionListNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ExpressionNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ForNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\FunctionCallNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\FunctionDeclNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\FunctionReturnNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\FunctionTermNode.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\IfNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\InNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ModuleTerm.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\MultiplyNode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\NotNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\NumberNode.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\OrNode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ParenNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\PrintNode.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\RelationNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\RootNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\StringNode.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\SubtractNode.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\TermNode.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jsnap\source\repos\Basic4WebGL\src\lib\Basic4WebGL\nodes\ToNode.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
